歌手,歌名,链接
法老,亲密爱人2017（feat. 酷癌）,https://rapzh.com/songs/751
法老,请跟这烂圈子说再见,https://rapzh.com/songs/769
法老,睡前故事,https://rapzh.com/songs/45844
法老,gucci gang remix（Cover lil pump）,https://rapzh.com/songs/45841
法老,我想,https://rapzh.com/songs/762
法老,清道夫freestyle（diss everybody）,https://rapzh.com/songs/160949
法老,Logic - Dear god (remix）,https://rapzh.com/songs/45847
法老,你以为你是谁啊？,https://rapzh.com/songs/755
法老,行凶3.0 feat. lil g,https://rapzh.com/songs/763
法老,可爱颂remix,https://rapzh.com/songs/756
法老,Eminem-lucky you（法老 Remix）,https://rapzh.com/songs/167678
法老,丑陋鼠草,https://rapzh.com/songs/195352
法老,respect,https://rapzh.com/songs/45840
法老,AFK（feat.Buzzy）,https://rapzh.com/songs/173824
法老,老师,https://rapzh.com/songs/768
Jony J,Call Me Later,https://rapzh.com/songs/169
Jony J,防火线,https://rapzh.com/songs/jony-j-fang-huo-xian
Jony J,套路,https://rapzh.com/songs/jony-j-tao-lu
Jony J,角色,https://rapzh.com/songs/jony-j-jue-se
Jony J,陪你作个秀,https://rapzh.com/songs/167
Jony J,不用去猜,https://rapzh.com/songs/jony-j-bu-yong-qu-cai
Jony J,玩家,https://rapzh.com/songs/jony-j-wan-jia
Jony J,信仰,https://rapzh.com/songs/163
Jony J,My City(feat.顾杰),https://rapzh.com/songs/jony-j-my-city
Jony J,奴隶,https://rapzh.com/songs/59389
Jony J,开门见山,https://rapzh.com/songs/jony-j-kai-men-jian-shan
Jony J,Call Me Later(feat.苏西莉),https://rapzh.com/songs/162
Jony J,像你说的那样滚,https://rapzh.com/songs/139
Jony J,慢慢来,https://rapzh.com/songs/129
Jony J,My Man,https://rapzh.com/songs/180107
Jony J,住你耳朵里,https://rapzh.com/songs/140
Jony J,时光列车,https://rapzh.com/songs/161
Jony J,离不开,https://rapzh.com/songs/164
Jony J,Skit,https://rapzh.com/songs/151
Jony J,I'm Not Cool(feat.光光),https://rapzh.com/songs/150
Jony J,Intro,https://rapzh.com/songs/127
Jony J,Yes Day,https://rapzh.com/songs/146
Jony J,J Hood,https://rapzh.com/songs/148
Jony J,记忆碎片,https://rapzh.com/songs/158
Higher Brothers,该挨,https://rapzh.com/songs/higher-brothers-gai-ai
Higher Brothers,Lover Boy 88,https://rapzh.com/songs/phum-viphurit-and-higher-brothers-lover-boy-88
Higher Brothers,Midsummer Madness,https://rapzh.com/songs/88rising-midsummer-madness
Higher Brothers,暴风雨,https://rapzh.com/songs/45363
Higher Brothers,Without You,https://rapzh.com/songs/higher-brothers-without-you
Higher Brothers,desiigner - 熊猫（Panda REMIX）,https://rapzh.com/songs/higher-brothers-desiigner-xiong-mao-panda-remix
Higher Brothers,Higher Brothers Intro,https://rapzh.com/songs/higher-brothers-higher-brothers-intro
Higher Brothers,Facts Remix,https://rapzh.com/songs/higher-brothers-facts-remix
Higher Brothers,冬眠,https://rapzh.com/songs/31
Higher Brothers,Chanel,https://rapzh.com/songs/higher-brothers-chanel
Higher Brothers,Tequila Sunrise (feat. AUGUST 08 & GoldLink),https://rapzh.com/songs/201032
Higher Brothers,"你,我",https://rapzh.com/songs/higher-brothers-ni-wo
Higher Brothers,野猪儿,https://rapzh.com/songs/29
Higher Brothers,尴尬,https://rapzh.com/songs/26
Higher Brothers,因为(PS￥.P&DZ)[Prod.Canis Major],https://rapzh.com/songs/21
Higher Brothers,嫉妒,https://rapzh.com/songs/24
Higher Brothers,Cosplay(MA$IWEI&PS￥.P)[Prod.Simon Marcus],https://rapzh.com/songs/27
Higher Brothers,5:30 AM,https://rapzh.com/songs/45362
Higher Brothers,7-11,https://rapzh.com/songs/higher-brothers-7-11
Higher Brothers,Okay Remix,https://rapzh.com/songs/higher-brothers-okay-remix
Higher Brothers,Young Master (Prod. Key Pusha Beats),https://rapzh.com/songs/13
Higher Brothers,A.D. 钙奶,https://rapzh.com/songs/45364
Higher Brothers,Open It Up,https://rapzh.com/songs/higher-brothers-open-it-up
Higher Brothers,玩耍(PS￥.P&MELO&DZ)[ Prod.Swagg B],https://rapzh.com/songs/17
PO8,诗人说梦,https://rapzh.com/songs/6759
PO8,慢慢升空(feat. Akasia),https://rapzh.com/songs/6760
PO8,Chillin',https://rapzh.com/songs/po8-chillin
PO8,龙头棒(Diss Young Dragon/3Bangz/狠毒男孩）,https://rapzh.com/songs/6765
PO8,Poet with a pistol,https://rapzh.com/songs/6763
PO8,回到老学校,https://rapzh.com/songs/6771
PO8,"I know, U know (feat.C.N.K)",https://rapzh.com/songs/6761
PO8,玛丽莲娜(feat.Alice_m.o),https://rapzh.com/songs/6762
PO8,Ya My Bae (Prod.牧羊少年）,https://rapzh.com/songs/6768
PO8,惊堂木,https://rapzh.com/songs/182523
PO8,Cypher-洛杉矶,https://rapzh.com/songs/6766
PO8,8 (Prod. Zensoul),https://rapzh.com/songs/68000
PO8,派大星,https://rapzh.com/songs/6772
PO8,镰鼬,https://rapzh.com/songs/67997
PO8,山鬼,https://rapzh.com/songs/182522
PO8,Souleight（ 魂八 ）,https://rapzh.com/songs/67996
PO8,鼠疫（prod.Horus),https://rapzh.com/songs/6767
PO8,慢慢升空Demo(prod.by Danny),https://rapzh.com/songs/6769
PO8,➕,https://rapzh.com/songs/67998
PO8,金城功夫(prod.Zensoul),https://rapzh.com/songs/6764
PO8,城外城（Intro),https://rapzh.com/songs/6770
PO8,爵士luv (feat. MC Colin),https://rapzh.com/songs/6774
PO8,無常二爺,https://rapzh.com/songs/68001
PO8,空车,https://rapzh.com/songs/6773
安全着陆,个人简介,https://rapzh.com/songs/2756
安全着陆,需要保密的情话,https://rapzh.com/songs/2766
安全着陆,失夜1999,https://rapzh.com/songs/2762
安全着陆,夜游症,https://rapzh.com/songs/2752
安全着陆,我欲乘风,https://rapzh.com/songs/2767
安全着陆,安全着陆,https://rapzh.com/songs/2760
安全着陆,二人赚,https://rapzh.com/songs/2751
安全着陆,时间杀人事件,https://rapzh.com/songs/2768
安全着陆,二人赚 (Intro),https://rapzh.com/songs/2750
安全着陆,即将在夜幕下对你诉说,https://rapzh.com/songs/2769
安全着陆,日常修仙,https://rapzh.com/songs/2757
安全着陆,宫城良田,https://rapzh.com/songs/161224
安全着陆,老弟和你,https://rapzh.com/songs/161228
安全着陆,你混得怎么样 (The Ghetto Anthem),https://rapzh.com/songs/161237
安全着陆,别动我的G-Shock,https://rapzh.com/songs/2761
安全着陆,再见 牛仔,https://rapzh.com/songs/2759
安全着陆,四重奏,https://rapzh.com/songs/2753
安全着陆,乘客须知,https://rapzh.com/songs/161223
安全着陆,亲爱的 我请你喝一杯汽水,https://rapzh.com/songs/57684
安全着陆,赶路,https://rapzh.com/songs/161235
安全着陆,社交黑名单申请书,https://rapzh.com/songs/161225
安全着陆,脱口秀,https://rapzh.com/songs/161239
安全着陆,声声慢,https://rapzh.com/songs/2763
安全着陆,模特儿,https://rapzh.com/songs/161229
Straight Fire Gang 直火帮,茶越绿 (Back to Back Remix),https://rapzh.com/songs/4824
Straight Fire Gang 直火帮,udA,https://rapzh.com/songs/45864
Straight Fire Gang 直火帮,爬墙少年,https://rapzh.com/songs/45873
Straight Fire Gang 直火帮,大暑,https://rapzh.com/songs/4814
Straight Fire Gang 直火帮,大鲸吞 (Midwest Cypher),https://rapzh.com/songs/4800
Straight Fire Gang 直火帮,0号加满,https://rapzh.com/songs/45861
Straight Fire Gang 直火帮,致美联航 (ft. Shen),https://rapzh.com/songs/4804
Straight Fire Gang 直火帮,鲍师傅,https://rapzh.com/songs/45863
Straight Fire Gang 直火帮,熊猫 (Panda Remix),https://rapzh.com/songs/4818
Straight Fire Gang 直火帮,别玩儿 (Extended Version),https://rapzh.com/songs/4817
Straight Fire Gang 直火帮,New World (Remix),https://rapzh.com/songs/4807
Straight Fire Gang 直火帮,四重奏,https://rapzh.com/songs/2753
Straight Fire Gang 直火帮,Girls,https://rapzh.com/songs/4821
Straight Fire Gang 直火帮,小暑,https://rapzh.com/songs/4813
Straight Fire Gang 直火帮,Siri,https://rapzh.com/songs/45860
Straight Fire Gang 直火帮,First Rick,https://rapzh.com/songs/45862
Straight Fire Gang 直火帮,拖延症,https://rapzh.com/songs/133953
Straight Fire Gang 直火帮,大暑(Robaholic Remix),https://rapzh.com/songs/43368
Straight Fire Gang 直火帮,Anti-social,https://rapzh.com/songs/45869
Straight Fire Gang 直火帮,破壁者,https://rapzh.com/songs/45871
Straight Fire Gang 直火帮,Let It Shine,https://rapzh.com/songs/4810
Straight Fire Gang 直火帮,Ninja Grime (ft.辛巴),https://rapzh.com/songs/4801
Straight Fire Gang 直火帮,乌合之众,https://rapzh.com/songs/263669
Straight Fire Gang 直火帮,重混香奈儿 (ft. Lil Jet) (Chanel Remix),https://rapzh.com/songs/4803
3Bangz,我不需要女友,https://rapzh.com/songs/1552
3Bangz,加州网红,https://rapzh.com/songs/3bangz-jia-zhou-wang-hong
3Bangz,你说你年轻优秀 你脸不脸红(Freestyle),https://rapzh.com/songs/1559
3Bangz,陪你过冬天,https://rapzh.com/songs/1562
3Bangz,你的男孩套套没有潘长江高(Freestyle),https://rapzh.com/songs/1558
3Bangz,我要狠狠地**,https://rapzh.com/songs/1578
3Bangz,我只需要你,https://rapzh.com/songs/3144
3Bangz,你的男孩套套丑爆了(Freestyle),https://rapzh.com/songs/1557
3Bangz,兰州拉面,https://rapzh.com/songs/1574
3Bangz,烟圈歌,https://rapzh.com/songs/1542
3Bangz,♻️西兰花(3Bangz Remix)♻️,https://rapzh.com/songs/1575
3Bangz,给你弄点儿尿喝喝,https://rapzh.com/songs/1572
3Bangz,我是你的吴亦凡(Freestyle),https://rapzh.com/songs/1553
3Bangz,游河南,https://rapzh.com/songs/1581
3Bangz,我不能在家躺着,https://rapzh.com/songs/1582
3Bangz,有刘海的说唱歌手(MC光光 Diss),https://rapzh.com/songs/40823
3Bangz,头等男友,https://rapzh.com/songs/1540
3Bangz,你是谁啊???,https://rapzh.com/songs/1549
3Bangz,快乐老家(Cover 陈明),https://rapzh.com/songs/1547
3Bangz,看好你的马子,https://rapzh.com/songs/1543
3Bangz,别管我要存在感,https://rapzh.com/songs/64170
3Bangz,上海 Freestyle,https://rapzh.com/songs/1593
3Bangz,六一儿童节,https://rapzh.com/songs/1577
3Bangz,意淫天王 Freestyle,https://rapzh.com/songs/1594
艾福杰尼,说散就散,https://rapzh.com/songs/ai-fu-jie-ni-shuo-san-jiu-san
艾福杰尼,我想要(I Want Remix),https://rapzh.com/songs/ai-fu-jie-ni-wo-xiang-yao-i-want-remix
艾福杰尼,酒精,https://rapzh.com/songs/ai-fu-jie-ni-jiu-jing
艾福杰尼,KORLA,https://rapzh.com/songs/ai-fu-jie-ni-korla
艾福杰尼,无尽航班 feat. 派克特,https://rapzh.com/songs/748
艾福杰尼,1992 Part 3 (下),https://rapzh.com/songs/733
艾福杰尼,1992 Part 3 (上),https://rapzh.com/songs/732
艾福杰尼,巴黎，东京，上海，北京,https://rapzh.com/songs/737
艾福杰尼,SORRY,https://rapzh.com/songs/ai-fu-jie-ni-sorry
艾福杰尼,MR.POPULAR,https://rapzh.com/songs/ai-fu-jie-ni-mr-popular
艾福杰尼,说散就散 (伴奏),https://rapzh.com/songs/41066
艾福杰尼,Skr Skr Skr,https://rapzh.com/songs/736
艾福杰尼,无尽航班 feat.YB杨宾,https://rapzh.com/songs/747
艾福杰尼,SLASH,https://rapzh.com/songs/ai-fu-jie-ni-slash
艾福杰尼,都市物语,https://rapzh.com/songs/735
艾福杰尼,杀无赦,https://rapzh.com/songs/41063
艾福杰尼,1992 PART 3（上）,https://rapzh.com/songs/742
艾福杰尼,迈克的生日,https://rapzh.com/songs/739
艾福杰尼,G Plus (El Chapo Remix),https://rapzh.com/songs/731
艾福杰尼,真心话大冒险,https://rapzh.com/songs/741
艾福杰尼,通过验证,https://rapzh.com/songs/166156
艾福杰尼,Born To Fire,https://rapzh.com/songs/ai-fu-jie-ni-born-to-fire
艾福杰尼,G Plus(El Chapo Remix),https://rapzh.com/songs/745
艾福杰尼,Know My Style (Gizzle Remix featuring 艾福杰尼&黄旭),https://rapzh.com/songs/29727
王以太,目不转睛,https://rapzh.com/songs/wang-yi-tai-mu-bu-zhuan-jing
王以太,时间是金/ Time Is A Fool,https://rapzh.com/songs/17107
王以太,童言无忌（不插电）,https://rapzh.com/songs/17109
王以太,打个总结 (fly and ride),https://rapzh.com/songs/17108
王以太,睡前故事两则,https://rapzh.com/songs/57042
王以太,Liquor Whisper,https://rapzh.com/songs/57041
王以太,成都集团2020cypher,https://rapzh.com/songs/3069965
王以太,Better Than Me？Feat. 辛巴 & Pact,https://rapzh.com/songs/57039
王以太,Mask Off Remix (freestyle),https://rapzh.com/songs/17101
王以太,三思而后行,https://rapzh.com/songs/170204
王以太,PUMA,https://rapzh.com/songs/167935
王以太,梦魇 Feat 梦徐MX Prod. By CANIS MAJOR,https://rapzh.com/songs/57037
王以太,Come and Stay with me,https://rapzh.com/songs/17104
王以太,Skrr,https://rapzh.com/songs/17110
王以太,C.D.C (Panorama City Remix),https://rapzh.com/songs/57036
王以太,别跟我一起,https://rapzh.com/songs/17106
王以太,猎人（till its gone）,https://rapzh.com/songs/17105
王以太,I Feel Great,https://rapzh.com/songs/57040
王以太,FEEL. REMIX,https://rapzh.com/songs/57043
王以太,阿司匹林,https://rapzh.com/songs/200611
王以太,Feel Alive Pt 2 （zaddy remix）,https://rapzh.com/songs/17103
王以太,豹子 (king of everything remix),https://rapzh.com/songs/17102
王以太,人间天堂,https://rapzh.com/songs/200568
王以太,On The Road,https://rapzh.com/songs/200591
艾热AIR,AIR,https://rapzh.com/songs/ai-re-air
艾热AIR,乌云中,https://rapzh.com/songs/ai-re-wu-yun-zhong
艾热AIR,巨人(JU REN),https://rapzh.com/songs/47353
艾热AIR,家走,https://rapzh.com/songs/47347
艾热AIR,FALLIN(#STONA GANG),https://rapzh.com/songs/47360
艾热AIR,我到新疆去,https://rapzh.com/songs/78511
艾热AIR,你能看到我,https://rapzh.com/songs/162253
艾热AIR,B.T.T.O.D(往昔),https://rapzh.com/songs/47355
艾热AIR,Trilogy(三部曲),https://rapzh.com/songs/47354
艾热AIR,PRAY FOR MYSELF,https://rapzh.com/songs/47362
艾热AIR,风语画江湖,https://rapzh.com/songs/161768
艾热AIR,Blur out(#STONA GANG),https://rapzh.com/songs/47349
艾热AIR,Not today(#STONA GANG),https://rapzh.com/songs/47348
艾热AIR,Doubt(疑惑),https://rapzh.com/songs/47356
艾热AIR,DO 4 LUV(#STONA GANG),https://rapzh.com/songs/47359
艾热AIR,风语画江湖 (伴奏),https://rapzh.com/songs/161769
艾热AIR,THAT'S RIGHT(#STONA GANG),https://rapzh.com/songs/47357
艾热AIR,风语画江湖 (人声伴奏),https://rapzh.com/songs/161770
艾热AIR,Bad Habit,https://rapzh.com/songs/180130
艾热AIR,FEELING RIGHT(#STONA GANG),https://rapzh.com/songs/47352
艾热AIR,慢慢来,https://rapzh.com/songs/47361
艾热AIR,蛋 feat.艾热,https://rapzh.com/songs/169905
艾热AIR,星球坠落,https://rapzh.com/songs/183106
艾热AIR,INTHEAIRTONIGHT,https://rapzh.com/songs/47351
那吾克热,Next Step,https://rapzh.com/songs/157687
那吾克热,北漂,https://rapzh.com/songs/157689
那吾克热,放空,https://rapzh.com/songs/157672
那吾克热,I'm CY,https://rapzh.com/songs/157667
那吾克热,365个祝福 (南航特别版),https://rapzh.com/songs/157668
那吾克热,Brother,https://rapzh.com/songs/157680
那吾克热,斗牛,https://rapzh.com/songs/157676
那吾克热,不要上街头,https://rapzh.com/songs/157671
那吾克热,Kochiga Chiqma,https://rapzh.com/songs/157675
那吾克热,We Are Back,https://rapzh.com/songs/157684
那吾克热,365个祝福 (鸡年贺岁版伴奏),https://rapzh.com/songs/157669
那吾克热,Tagdir,https://rapzh.com/songs/157688
那吾克热,Hayat,https://rapzh.com/songs/157686
那吾克热,趁年轻,https://rapzh.com/songs/157666
那吾克热,Jawabim,https://rapzh.com/songs/157677
那吾克热,Toylar Mubarek,https://rapzh.com/songs/157681
那吾克热,365个祝福 (鸡年贺岁版),https://rapzh.com/songs/157670
那吾克热,毕业时间,https://rapzh.com/songs/157682
那吾克热,Ayqim Nede,https://rapzh.com/songs/157683
那吾克热,Musape,https://rapzh.com/songs/157679
那吾克热,Peace,https://rapzh.com/songs/157685
那吾克热,kki Shapilaq,https://rapzh.com/songs/157674
那吾克热,Tamche Yash,https://rapzh.com/songs/157678
那吾克热,Muqeddime,https://rapzh.com/songs/157673
刘柏辛Lexie,One,https://rapzh.com/songs/44280
刘柏辛Lexie,Coco Made Me Do It,https://rapzh.com/songs/6778
刘柏辛Lexie,Manta,https://rapzh.com/songs/1744793
刘柏辛Lexie,Rockstar,https://rapzh.com/songs/6775
刘柏辛Lexie,Like A Mercedes,https://rapzh.com/songs/134159
刘柏辛Lexie,Manta,https://rapzh.com/songs/1869530
刘柏辛Lexie,We Don't Talk Anymore,https://rapzh.com/songs/6779
刘柏辛Lexie,Coco Made Me Do It (Remix),https://rapzh.com/songs/6776
刘柏辛Lexie,C.O.T.T,https://rapzh.com/songs/6786
刘柏辛Lexie,Her,https://rapzh.com/songs/6781
刘柏辛Lexie,All Eyes on Me(Ft. Al Rocco/'BBHMM' Remix'),https://rapzh.com/songs/6787
刘柏辛Lexie,Moonlight,https://rapzh.com/songs/153557
刘柏辛Lexie,Pink Room Freestyle,https://rapzh.com/songs/6777
刘柏辛Lexie,单人沙发,https://rapzh.com/songs/6789
刘柏辛Lexie,EGO,https://rapzh.com/songs/2737
刘柏辛Lexie,Love on top,https://rapzh.com/songs/6782
刘柏辛Lexie,Lexie's Interview by TBS eFM 101.3,https://rapzh.com/songs/6780
刘柏辛Lexie,玫瑰星云 Holy,https://rapzh.com/songs/1869533
刘柏辛Lexie,C.O.T.T (xXx Studio Remix),https://rapzh.com/songs/6785
刘柏辛Lexie,Sleep Away,https://rapzh.com/songs/liu-bai-xin-lexie-sleep-away
刘柏辛Lexie,Dripping Sauce,https://rapzh.com/songs/171240
刘柏辛Lexie,地球蓝 Aqua Blue,https://rapzh.com/songs/1869544
刘柏辛Lexie,Strange Things,https://rapzh.com/songs/171235
刘柏辛Lexie,Sleep Away,https://rapzh.com/songs/170418
姜云升,患,https://rapzh.com/songs/168531
姜云升,网易云,https://rapzh.com/songs/168525
姜云升,你一定能够成为你想要去成为的人,https://rapzh.com/songs/1989150
姜云升,举步维艰,https://rapzh.com/songs/168524
姜云升,毕业典礼,https://rapzh.com/songs/168530
姜云升,致郁,https://rapzh.com/songs/1989152
姜云升,孤注一掷,https://rapzh.com/songs/1989155
姜云升,呵呵,https://rapzh.com/songs/1989156
姜云升,遇见你,https://rapzh.com/songs/168529
姜云升,28.7,https://rapzh.com/songs/1705012
姜云升,Intro,https://rapzh.com/songs/1989145
姜云升,初,https://rapzh.com/songs/1989147
姜云升,真没睡,https://rapzh.com/songs/345986
姜云升,匀升,https://rapzh.com/songs/168526
姜云升,从无到有 feat 安列,https://rapzh.com/songs/168532
姜云升,奈何,https://rapzh.com/songs/1989149
姜云升,这首歌没唱直接听,https://rapzh.com/songs/345988
姜云升,云霄,https://rapzh.com/songs/1989158
姜云升,日记,https://rapzh.com/songs/1989153
姜云升,假装,https://rapzh.com/songs/345983
姜云升,淹没,https://rapzh.com/songs/345984
姜云升,围城,https://rapzh.com/songs/345985
姜云升,往上飙freestyle（feat.正义感）,https://rapzh.com/songs/168528
姜云升,敌人freestyle,https://rapzh.com/songs/168527
Toy王奕,不必说再见,https://rapzh.com/songs/2234
Toy王奕,陪你过冬天Remix,https://rapzh.com/songs/2237
Toy王奕,She,https://rapzh.com/songs/2231
Toy王奕,一见你我就笑,https://rapzh.com/songs/2224
Toy王奕,Popthat,https://rapzh.com/songs/2225
Toy王奕,路子,https://rapzh.com/songs/2221
Toy王奕,那一天,https://rapzh.com/songs/63455
Toy王奕,Me and Ma Bros,https://rapzh.com/songs/2228
Toy王奕,那么我先不等了,https://rapzh.com/songs/2244
Toy王奕,良心港,https://rapzh.com/songs/2230
Toy王奕,Rap for China,https://rapzh.com/songs/2241
Toy王奕,Never Lonely,https://rapzh.com/songs/2238
Toy王奕,不必说再见,https://rapzh.com/songs/2232
Toy王奕,Never Lonely,https://rapzh.com/songs/2229
Toy王奕,SD&B feat.eso,https://rapzh.com/songs/2242
Toy王奕,Coming now,https://rapzh.com/songs/63456
Toy王奕,宽恕,https://rapzh.com/songs/2223
Toy王奕,City to City Feat TACE,https://rapzh.com/songs/2220
Toy王奕,Stay Alone Together,https://rapzh.com/songs/2226
Toy王奕,抱着你,https://rapzh.com/songs/66880
Toy王奕,Stay Alone Togethe,https://rapzh.com/songs/2236
Toy王奕,My Birthday,https://rapzh.com/songs/2219
Toy王奕,Loco - 安排( you don't know remix )王奕,https://rapzh.com/songs/2222
Toy王奕,流浪,https://rapzh.com/songs/63453
满舒克,Lost,https://rapzh.com/songs/man-shu-ke-lost
满舒克,My Heart Will Go On,https://rapzh.com/songs/man-shu-ke-my-heart-will-go-on
满舒克,Me and ma bros,https://rapzh.com/songs/305
满舒克,陪你过冬天（2017）,https://rapzh.com/songs/300
满舒克,做我的猫,https://rapzh.com/songs/32891
满舒克,RELAX,https://rapzh.com/songs/163784
满舒克,听你身体说,https://rapzh.com/songs/307
满舒克,NICE VIEW,https://rapzh.com/songs/297
满舒克,外星人,https://rapzh.com/songs/313
满舒克,每一天,https://rapzh.com/songs/318
满舒克,怎么还没睡,https://rapzh.com/songs/326
满舒克,You don't even know,https://rapzh.com/songs/302
满舒克,燃烧,https://rapzh.com/songs/391
满舒克,Lonely God,https://rapzh.com/songs/316
满舒克,FAMILY(Prod by WHIZZBIZ),https://rapzh.com/songs/314
满舒克,Intro Perfect,https://rapzh.com/songs/298
满舒克,Never Lonely,https://rapzh.com/songs/309
满舒克,浪得冒泡,https://rapzh.com/songs/163785
满舒克,There was a time,https://rapzh.com/songs/301
满舒克,玩,https://rapzh.com/songs/164301
满舒克,不想错过你,https://rapzh.com/songs/303
满舒克,ATM,https://rapzh.com/songs/327
满舒克,Happy meal,https://rapzh.com/songs/man-shu-ke-happy-meal
满舒克,I Like You,https://rapzh.com/songs/161842
派克特（PACT）,02 Y,https://rapzh.com/songs/pai-ke-te-pact-y
派克特（PACT）,Better Than Me？Feat. 辛巴 & Pact,https://rapzh.com/songs/57039
派克特（PACT）,人海人山,https://rapzh.com/songs/220889
派克特（PACT）,12 Home,https://rapzh.com/songs/789
派克特（PACT）,01 还是噩梦,https://rapzh.com/songs/778
派克特（PACT）,03 4X,https://rapzh.com/songs/780
派克特（PACT）,11 答案的答案,https://rapzh.com/songs/788
派克特（PACT）,06 得到你的爱,https://rapzh.com/songs/783
派克特（PACT）,04 革命,https://rapzh.com/songs/781
派克特（PACT）,08 聊不无聊,https://rapzh.com/songs/785
派克特（PACT）,10 FREEDOM,https://rapzh.com/songs/787
派克特（PACT）,09 夜日,https://rapzh.com/songs/786
派克特（PACT）,绝可 feat.派克特,https://rapzh.com/songs/169912
派克特（PACT）,05 Everything,https://rapzh.com/songs/782
派克特（PACT）,07 慢慢飞,https://rapzh.com/songs/784
派克特（PACT）,13 Output,https://rapzh.com/songs/790
派克特（PACT）,野外求生手册,https://rapzh.com/songs/220902
派克特（PACT）,唤醒热爱·NBA唤醒季主题曲,https://rapzh.com/songs/171889
派克特（PACT）,YOKIMIYA,https://rapzh.com/songs/220900
派克特（PACT）,离开才知道有多离不开,https://rapzh.com/songs/220895
派克特（PACT）,Know My Style (PACT‭ &‬‭ ‬Gunknown Remix featuring‭ ‬辛巴‭ & ‬PACT),https://rapzh.com/songs/29726
派克特（PACT）,坏妈妈,https://rapzh.com/songs/220897
派克特（PACT）,我怕的是,https://rapzh.com/songs/220896
派克特（PACT）,CEO,https://rapzh.com/songs/220898
AR 刘夫阳,皇帝的新衣 (Skr),https://rapzh.com/songs/160489
AR 刘夫阳,Real Rap Shit Pt.2 (Lu Remix),https://rapzh.com/songs/39449
AR 刘夫阳,对号入座 FT. AR,https://rapzh.com/songs/84469
AR 刘夫阳,C位,https://rapzh.com/songs/63818
AR 刘夫阳,押韵歌,https://rapzh.com/songs/172327
AR 刘夫阳,乱标价,https://rapzh.com/songs/39447
AR 刘夫阳,耐心 (Patience Pt.2),https://rapzh.com/songs/39448
AR 刘夫阳,害臊,https://rapzh.com/songs/138535
AR 刘夫阳,粤语 Rap (Interlude),https://rapzh.com/songs/153477
