song_name	rapper	url
谁是绿茶婊(伴奏)	新街口	https://rapzh.com/songs/2507
关你屁事（伴奏）	新街口	https://rapzh.com/songs/2466
我不干了（Produced by KwanChen）	大頭佛	https://rapzh.com/songs/6516
Nevermind (伴奏)	辛巴	https://rapzh.com/songs/3132
Keepushin	鱼头_killa4nia	https://rapzh.com/songs/61792
KING OF ACES (伴奏)	周凯翔	https://rapzh.com/songs/67889
航班 (伴奏)	周凯翔	https://rapzh.com/songs/67886
卡带人生	一指团体Afinger	https://rapzh.com/songs/21564
Welcome To Party(Instrumental)	一指团体Afinger	https://rapzh.com/songs/21567
黄金搭档 FT.3BANGZ	嫩桃弟弟	https://rapzh.com/songs/41032
金正嫩	嫩桃弟弟	https://rapzh.com/songs/41055
哈拉帽 FT.BLOODZ BOI&M80	嫩桃弟弟	https://rapzh.com/songs/41036
My Hater FT	嫩桃弟弟	https://rapzh.com/songs/41053
Gloria FT.EASY BOYZ GANG	嫩桃弟弟	https://rapzh.com/songs/41048
小婊砸	嫩桃弟弟	https://rapzh.com/songs/41052
穿越火线 (PROD.S-Kiddi)	嫩桃弟弟	https://rapzh.com/songs/41056
搬砖	嫩桃弟弟	https://rapzh.com/songs/41045
～prologue～	羽多野渉	https://rapzh.com/songs/3546554
君だけの守護騎士	羽多野渉	https://rapzh.com/songs/3546613
鞍馬双天狗	羽多野渉	https://rapzh.com/songs/3546629
我想全部都给你	MC肆（C-SIR）	https://rapzh.com/songs/136265
不然要怎样	MC肆（C-SIR）	https://rapzh.com/songs/136235
原来	MC肆（C-SIR）	https://rapzh.com/songs/136240
中华肆	MC肆（C-SIR）	https://rapzh.com/songs/136254
加特林与社会王伴奏版	MC肆（C-SIR）	https://rapzh.com/songs/136231
事情是这样的	MC肆（C-SIR）	https://rapzh.com/songs/136264
王呆呆和秋天有一个约会	MC肆（C-SIR）	https://rapzh.com/songs/136236
别来烦我 C-SIR FT YZ屿子	MC肆（C-SIR）	https://rapzh.com/songs/136245
金融兄弟 大肆院	MC肆（C-SIR）	https://rapzh.com/songs/136243
万山之太	MC肆（C-SIR）	https://rapzh.com/songs/136216
不然要怎样	MC肆（C-SIR）	https://rapzh.com/songs/136259
北岳恒山	MC肆（C-SIR）	https://rapzh.com/songs/152502
棒子老虎鸡 C-SIR FT YZ屿子	MC肆（C-SIR）	https://rapzh.com/songs/136244
开场	MC肆（C-SIR）	https://rapzh.com/songs/136253
乖乖的	MC肆（C-SIR）	https://rapzh.com/songs/136238
C-SIR - me （yz屿子 REMIX)	MC肆（C-SIR）	https://rapzh.com/songs/136226
包子店	大包子Dabozz	https://rapzh.com/songs/57598
Heavier	大包子Dabozz	https://rapzh.com/songs/94612
回到梦想（死灰 Intro）	邪恶少年EB	https://rapzh.com/songs/870
Nice To Meet You	老船长OC	https://rapzh.com/songs/13545
探探	宋睡觉	https://rapzh.com/songs/3738
麦相找 (广播版)	茶米	https://rapzh.com/songs/2425
N NEVER 主题曲	茶米	https://rapzh.com/songs/2450
Cell Phone(接电话)	茶米	https://rapzh.com/songs/2430
我在-Freestyle	茶米	https://rapzh.com/songs/2417
脆弱	茶米	https://rapzh.com/songs/2418
Do You Like HipHop	茶米	https://rapzh.com/songs/2443
OK DEMO beat 禁止非法使用	爆音BOOM	https://rapzh.com/songs/63509
黄皮肤的路	隐藏	https://rapzh.com/songs/66942
呆会儿	隐藏	https://rapzh.com/songs/2650
DO THAT THANG	隐藏	https://rapzh.com/songs/2645
LET'S GET IT	隐藏	https://rapzh.com/songs/2638
Bibble 时尚圣经 (伴奏)	李大奔_	https://rapzh.com/songs/2771
四个火枪手	夜叉	https://rapzh.com/songs/1852
后来的切片 之ㄧ	蛋堡	https://rapzh.com/songs/1052
Stand Up (伴奏)	蜜妞miko	https://rapzh.com/songs/70528
Stand Up	蜜妞miko	https://rapzh.com/songs/70527
Dope (伴奏)	蜜妞miko	https://rapzh.com/songs/21009
Ding Ling Ding (伴奏)	蜜妞miko	https://rapzh.com/songs/70530
Outro	蜜妞miko	https://rapzh.com/songs/223597
Intro	蜜妞miko	https://rapzh.com/songs/223588
习惯	喷嘭乐团	https://rapzh.com/songs/2361
BabyGirl	喷嘭乐团	https://rapzh.com/songs/2369
We Get High	喷嘭乐团	https://rapzh.com/songs/2345
A Song For HipHOP	喷嘭乐团	https://rapzh.com/songs/2365
Bossy Life 中国老总remix	MusicLoop扭蛋音乐	https://rapzh.com/songs/67100
Monster Roar	饶社	https://rapzh.com/songs/5475
人中之龙	澡堂帮 ZaoTangClan	https://rapzh.com/songs/61763
修炼歌 (电音版伴奏)	伍嘉成	https://rapzh.com/songs/167056
小皮球 (伴奏)	Bigdog王可	https://rapzh.com/songs/1150
DOOR AND KEY	Bigdog王可	https://rapzh.com/songs/59397
01 Put Your Mutherfucking hands Up	Bigdog王可	https://rapzh.com/songs/1168
一辈子陪我走	Bigdog王可	https://rapzh.com/songs/59395
still underground	Bigdog王可	https://rapzh.com/songs/1173
妄语戒 (伴奏)	Bigdog王可	https://rapzh.com/songs/1148
8 Superstar Remix	Bigdog王可	https://rapzh.com/songs/1165
艾米 FREESTYLE	李岩恒	https://rapzh.com/songs/4198
成年人的世界哪有容易二字 (伴奏)	李岩恒	https://rapzh.com/songs/278163
父老乡亲	卡姆路	https://rapzh.com/songs/21043
我会想你,就像天空会下雨 feat.波斯带	卡姆路	https://rapzh.com/songs/21047
神谈二五 feat.Cleanbo	卡姆路	https://rapzh.com/songs/21054
方向feat.张航	卡姆路	https://rapzh.com/songs/21049
SLOW IT DOWN (slow2slow)	莫安琪Angel Mo	https://rapzh.com/songs/8265410
Blood On My Shoe (prod. Jetskiii)	血男孩	https://rapzh.com/songs/619243
如果有一天	血男孩	https://rapzh.com/songs/619254
不想长大 (prod. neilaworld)	血男孩	https://rapzh.com/songs/619218
身陷地球 (prod. by Darcy Baylis)	血男孩	https://rapzh.com/songs/619272
D.TT.K	血男孩	https://rapzh.com/songs/619228
2D + Sol Jay (prod. glasear & 4evr)	血男孩	https://rapzh.com/songs/619239
我不在乎 (prod. by Fantasy Camp)	血男孩	https://rapzh.com/songs/619267
别打我电话	血男孩	https://rapzh.com/songs/619257
爱的光线	血男孩	https://rapzh.com/songs/619258
城中村一枝花	安大魂	https://rapzh.com/songs/17092
未命名	安大魂	https://rapzh.com/songs/5422281
<No No No>feat M80	Young Gee（小马）	https://rapzh.com/songs/46733
I'm in luv with U	Young Gee（小马）	https://rapzh.com/songs/206894
得神者昌	精气神制作	https://rapzh.com/songs/84894
Mumbo Jumbo - Sleeping Dogs OST	精气神制作	https://rapzh.com/songs/6426
失神者亡	精气神制作	https://rapzh.com/songs/6405
致命 Skit	精气神制作	https://rapzh.com/songs/6400
Hip Hop到白头	精气神制作	https://rapzh.com/songs/6420
走直线	精气神制作	https://rapzh.com/songs/84895
醉生梦死	精气神制作	https://rapzh.com/songs/84890
都病了	讲者	https://rapzh.com/songs/26998
《拼命不如拼维他命》-农夫山泉维他命水代言歌曲	孙八一	https://rapzh.com/songs/84498
保温杯少年	王天放FrankiD	https://rapzh.com/songs/84926
龙门阵主义	龙门阵	https://rapzh.com/songs/31239
Everybody说	龙门阵	https://rapzh.com/songs/31264
Sunny 石本砵	龙门阵	https://rapzh.com/songs/31265
Cba	龙门阵	https://rapzh.com/songs/31267
Clock Interlude - intro	龙门阵	https://rapzh.com/songs/31248
教我如何不爱他 (Instrumental)	许志安	https://rapzh.com/songs/307985
七年滋养 (Instrumental)	许志安	https://rapzh.com/songs/307976
垃圾天堂 (Instrumental)	许志安	https://rapzh.com/songs/307974
睡王子 (Instrumental)	许志安	https://rapzh.com/songs/307977
澹月秋千 (伴奏)	银临	https://rapzh.com/songs/166684
醉梦前尘 (幽默版)	银临	https://rapzh.com/songs/239832
时光荏苒 二胡B版	银临	https://rapzh.com/songs/239870
醉梦前尘 (笛子版)	银临	https://rapzh.com/songs/239834
严厉	银临	https://rapzh.com/songs/239900
病	竹游人	https://rapzh.com/songs/31279
无限流	竹游人	https://rapzh.com/songs/31285
Fire At Will	竹游人	https://rapzh.com/songs/31274
回到旧派	竹游人	https://rapzh.com/songs/31282
Queens	竹游人	https://rapzh.com/songs/31283
Intro - intro	竹游人	https://rapzh.com/songs/31269
You’re My Life	竹游人	https://rapzh.com/songs/31280
He‘s So Bad	竹游人	https://rapzh.com/songs/31273
Radio(Perrlude)	竹游人	https://rapzh.com/songs/31281
Ima G	竹游人	https://rapzh.com/songs/31272
One Day	竹游人	https://rapzh.com/songs/31276
Let‘s Roll	竹游人	https://rapzh.com/songs/31284
Phone Conversation	竹游人	https://rapzh.com/songs/31275
start/开始	Varia瓦利亚	https://rapzh.com/songs/121387
Sleeping baby	初音ミク	https://rapzh.com/songs/151277
HANA-BE(花火)	初音ミク	https://rapzh.com/songs/151671
GSW (DEMO)	CDE （伊尔盼）	https://rapzh.com/songs/2152893
Tell Me	CDE （伊尔盼）	https://rapzh.com/songs/3283699
星球坠落（翻自 艾热 AIR）	CDE （伊尔盼）	https://rapzh.com/songs/4325813
How Long	王大痣	https://rapzh.com/songs/67330
好朋友	王大痣	https://rapzh.com/songs/67328
Cool Man Cool Music	王大痣	https://rapzh.com/songs/67326
Cool Man Cool Music (伴奏)	王大痣	https://rapzh.com/songs/67327
活着为了帅	王大痣	https://rapzh.com/songs/67341
Dope Man Dope Music (伴奏)	王大痣	https://rapzh.com/songs/4005
好朋友 (伴奏)	王大痣	https://rapzh.com/songs/67329
活着为了帅 (伴奏)	王大痣	https://rapzh.com/songs/67342
别怕 (伴奏)	王大痣	https://rapzh.com/songs/67338
平凡之人 (伴奏)	王大痣	https://rapzh.com/songs/4007
生不来死不走 (伴奏)	王大痣	https://rapzh.com/songs/67340
十	王大痣	https://rapzh.com/songs/67331
我真的笑了	王大痣	https://rapzh.com/songs/67333
我真的笑了 (伴奏)	王大痣	https://rapzh.com/songs/67334
十 (伴奏)	王大痣	https://rapzh.com/songs/67332
真龙	王大痣	https://rapzh.com/songs/162355
药丸就玩真的	雲道	https://rapzh.com/songs/81851
屁死	雲道	https://rapzh.com/songs/81852
瞬间膨胀	雲道	https://rapzh.com/songs/81850
童行记	雲道	https://rapzh.com/songs/81847
Intro 跟自己说再见	雲道	https://rapzh.com/songs/81844
FLOAT	雲道	https://rapzh.com/songs/81840
自行娱乐	雲道	https://rapzh.com/songs/81845
是毒药 (伴奏)	王瑞淇	https://rapzh.com/songs/97738
白纱裙 (伴奏)	王瑞淇	https://rapzh.com/songs/97731
还记得 (伴奏)	王瑞淇	https://rapzh.com/songs/97730
你现在好吗 (伴奏)	王瑞淇	https://rapzh.com/songs/97732
找到你 (伴奏)	王瑞淇	https://rapzh.com/songs/97742
流沙	尹冲RapaciouzC	https://rapzh.com/songs/63607
Fantastic Planet	尹冲RapaciouzC	https://rapzh.com/songs/63604
Life Sucks	尹冲RapaciouzC	https://rapzh.com/songs/153799
Bob James Style	尹冲RapaciouzC	https://rapzh.com/songs/153802
Ascent	尹冲RapaciouzC	https://rapzh.com/songs/153797
Clap Your Hands	尹冲RapaciouzC	https://rapzh.com/songs/153796
Lovely Kristine	尹冲RapaciouzC	https://rapzh.com/songs/153800
吻	尹冲RapaciouzC	https://rapzh.com/songs/63605
Hear Me Roar	尹冲RapaciouzC	https://rapzh.com/songs/153801
Space Traveler	尹冲RapaciouzC	https://rapzh.com/songs/63603
Weird Shit	尹冲RapaciouzC	https://rapzh.com/songs/153804
Lonely Woman	尹冲RapaciouzC	https://rapzh.com/songs/153805
生生（纯伴奏）	西瓜JUN	https://rapzh.com/songs/396853
恋语 (V.K克钢琴独奏版)	V.K克	https://rapzh.com/songs/181594
Mercy(cover Duffy)（Cover：Various Artists）	泠风	https://rapzh.com/songs/176508
someday my prince will come	泠风	https://rapzh.com/songs/13497899
陈百强-相思河畔（大宁哥儿 / 泠风 remix）	泠风	https://rapzh.com/songs/13497903
小小梦想家	熊猫涂杰	https://rapzh.com/songs/63542
PandaRap -第一期	熊猫涂杰	https://rapzh.com/songs/63539
Panda - 熊猫说 春节特别版	熊猫涂杰	https://rapzh.com/songs/63540
Sugar (feat. Kungfu P of C-Block)	東別	https://rapzh.com/songs/158321
降龙伏虎 Feat. 王嗣尧 (Bonus Track)	東別	https://rapzh.com/songs/8316825
阙脱	東別	https://rapzh.com/songs/41710039
运钞车	東別	https://rapzh.com/songs/41715531
Loyalty	東別	https://rapzh.com/songs/41721031
MY DAWG	東別	https://rapzh.com/songs/41734453
안 (Inst.)	沈圭善	https://rapzh.com/songs/2543801
처음부터 내 사랑 (Inst.)	沈圭善	https://rapzh.com/songs/2543768
Soulmate (Inst.)	沈圭善	https://rapzh.com/songs/2543797
바다새의 노래 (inst.)	沈圭善	https://rapzh.com/songs/2543759
지는 싸움 (Inst.)	沈圭善	https://rapzh.com/songs/2543803
어디선가 나의 노랠 듣고 있을 너에게 (Inst.)	沈圭善	https://rapzh.com/songs/2543827
이토록이나 (Inst.)	沈圭善	https://rapzh.com/songs/2543845
Naked (Inst.)	沈圭善	https://rapzh.com/songs/2543805
清风明月	唐人踢	https://rapzh.com/songs/4040
滋滋滋 （zizizi）	唐人踢	https://rapzh.com/songs/1988221
请安静 （Shut The F Up）	唐人踢	https://rapzh.com/songs/1988217
宇宙 （Cosmos）	唐人踢	https://rapzh.com/songs/1988219
循环 （Loop）	唐人踢	https://rapzh.com/songs/1988227
精虫	唐人踢	https://rapzh.com/songs/3872479
惊了	唐人踢	https://rapzh.com/songs/3695424
音药freestyle	唐人踢	https://rapzh.com/songs/3695423
噢 （Oh）	唐人踢	https://rapzh.com/songs/1988214
Shine On (Prod. by 王晓夫 & D1)	王晓夫	https://rapzh.com/songs/76471
幸福山歌Remix 伴奏（Prod. 王晓夫）	王晓夫	https://rapzh.com/songs/11220194
Going Down(伴奏)	杨溢升	https://rapzh.com/songs/1931
Circle	杨溢升	https://rapzh.com/songs/185801
Outro	朴冉	https://rapzh.com/songs/1989159
斐济	朴冉	https://rapzh.com/songs/168522
G.D.H.F (feat. KelsThaLighter)	王嗣尧TURBO	https://rapzh.com/songs/3678214
?	王嗣尧TURBO	https://rapzh.com/songs/3926014
?	王嗣尧TURBO	https://rapzh.com/songs/3926012
?	王嗣尧TURBO	https://rapzh.com/songs/3926013
?	王嗣尧TURBO	https://rapzh.com/songs/3926016
保持真实	斯威特MCSWEET	https://rapzh.com/songs/63119
baby给我打个电话	斯威特MCSWEET	https://rapzh.com/songs/63109
别害羞feat 苏梦玫	斯威特MCSWEET	https://rapzh.com/songs/63111
你是哪一种 remix	斯威特MCSWEET	https://rapzh.com/songs/63114
可是	斯威特MCSWEET	https://rapzh.com/songs/63121
西海岸游戏	斯威特MCSWEET	https://rapzh.com/songs/63112
靠近我 feat 东南	斯威特MCSWEET	https://rapzh.com/songs/63108
乌云city	斯威特MCSWEET	https://rapzh.com/songs/63115
你的梦 feat jr fog prod by 斯威特	斯威特MCSWEET	https://rapzh.com/songs/63110
我的高中	斯威特MCSWEET	https://rapzh.com/songs/63116
腩兄腩弟	李文轩 Hin Leeh	https://rapzh.com/songs/15488162
Band Introduction	张学友	https://rapzh.com/songs/968248
香蕉啊香蕉	Eddie Beatz/也是福	https://rapzh.com/songs/46771
终极答案	Eddie Beatz/也是福	https://rapzh.com/songs/77590
未知	Eddie Beatz/也是福	https://rapzh.com/songs/77592
二环	Eddie Beatz/也是福	https://rapzh.com/songs/77585
我很开心	Eddie Beatz/也是福	https://rapzh.com/songs/77601
过(2013)	Eddie Beatz/也是福	https://rapzh.com/songs/77578
平和与和平 PART2（Feat.周士爵）	Eddie Beatz/也是福	https://rapzh.com/songs/77595
take 5	Eddie Beatz/也是福	https://rapzh.com/songs/144621
take 7	Eddie Beatz/也是福	https://rapzh.com/songs/144623
但愿人长久	徐海星	https://rapzh.com/songs/76532
东坡味道 (伴奏)	徐海星	https://rapzh.com/songs/76516
Maxone / Maxone老虎 - 梦者remix	百挞	https://rapzh.com/songs/10867497
MuanBite	百挞	https://rapzh.com/songs/10912756
一点点 (feat.MoMo)	尚先生	https://rapzh.com/songs/97790
Margarita	尚先生	https://rapzh.com/songs/97816
人生的旋转木马（Cover 岸部眞明）	尚先生	https://rapzh.com/songs/97849
黄昏 （Cover 押尾光太郎）（Cover 岸部眞明）	尚先生	https://rapzh.com/songs/97848
Black Russian	尚先生	https://rapzh.com/songs/97815
祝你爱我到天荒地老（伴奏）	颜人中	https://rapzh.com/songs/203900
宝贝	陈奂仁	https://rapzh.com/songs/59321
清洁阿婶	陈奂仁	https://rapzh.com/songs/59289
爱的力量	陈奂仁	https://rapzh.com/songs/59288
惊输	陈奂仁	https://rapzh.com/songs/59287
你最美丽	陈奂仁	https://rapzh.com/songs/59285
사랑이었다 (Inst.)	方敏雅	https://rapzh.com/songs/267286
My First Kiss (inst.)	方敏雅	https://rapzh.com/songs/5520044
小品《平民英雄》	乔杉	https://rapzh.com/songs/5588037
Let Me Let the Rhythm Hit'Em	黄崇旭	https://rapzh.com/songs/63434
April 17,2005 留言	黄崇旭	https://rapzh.com/songs/63436
ALWAYS (Inst.)	孝琳	https://rapzh.com/songs/146651
This Is Me	孝琳	https://rapzh.com/songs/146692
스쳐간 꿈처럼 (Inst)	孝琳	https://rapzh.com/songs/146649
Goodmorning Miss Sun	孝琳	https://rapzh.com/songs/146688
Ghost Eyes	孝琳	https://rapzh.com/songs/146691
Enjoy Party	孝琳	https://rapzh.com/songs/146693
보고싶어 (Inst.)	孝琳	https://rapzh.com/songs/146663
Joogoon s Sun	孝琳	https://rapzh.com/songs/146687
Grande Valse Brillante Op. 18, No. 1 in E-Flat Major	郎朗	https://rapzh.com/songs/93857
Rachmaninov: Prelude In G Minor, Op.23, No.5 - Alla Marcia	郎朗	https://rapzh.com/songs/94068
Spring Wind 望春风	郎朗	https://rapzh.com/songs/94121
Waltz Op. 64, No. 1 in D-Flat Major “Minute Waltz“	郎朗	https://rapzh.com/songs/93859
Chopin: Nocturne No.8 In D Flat, Op.27 No.2	郎朗	https://rapzh.com/songs/94152
II. Adagio-Presto-Adagio	郎朗	https://rapzh.com/songs/93959
舒曼 儿时情景 孩子的请求	郎朗	https://rapzh.com/songs/94200
Balakirev: Islamey (Oriental Fantasy)	郎朗	https://rapzh.com/songs/94297
II. Tema Con Variazioni	郎朗	https://rapzh.com/songs/93956
男孩男孩 (伴奏)	朱鸽	https://rapzh.com/songs/256392
不羡仙	朱鸽	https://rapzh.com/songs/9736265
自由式	阴三儿	https://rapzh.com/songs/41599963
没钱没朋友	阴三儿	https://rapzh.com/songs/41599966
我又没说你	阴三儿	https://rapzh.com/songs/41599967
实况足球	阴三儿	https://rapzh.com/songs/41599971
Intro “Fa-bu-la-ba-ji”	阴三儿	https://rapzh.com/songs/41599972
燃烧吧火焰	阴三儿	https://rapzh.com/songs/41599973
北京混子	阴三儿	https://rapzh.com/songs/41599974
“Da-la-di-la-da”	阴三儿	https://rapzh.com/songs/41599976
天生疯塔儿	阴三儿	https://rapzh.com/songs/41599977
龙宫宴请	阴三儿	https://rapzh.com/songs/41599978
爽歪歪	阴三儿	https://rapzh.com/songs/41599979
这条大街	阴三儿	https://rapzh.com/songs/41599980
都得死	阴三儿	https://rapzh.com/songs/41599981
没完没了	阴三儿	https://rapzh.com/songs/41599982
魔爪重生	阴三儿	https://rapzh.com/songs/41599983
Outro	阴三儿	https://rapzh.com/songs/41599984
没完没了（feat. DJ WORDY）	阴三儿	https://rapzh.com/songs/41599985
菲斯带偶	beatboxer张泽	https://rapzh.com/songs/385264
sorry i don't understand	李沫萱	https://rapzh.com/songs/67001
FANCY	李沫萱	https://rapzh.com/songs/67002
D.I.T.R (sans vacal)	李沫萱	https://rapzh.com/songs/67005
sorry i don't understand （sans vocal）	李沫萱	https://rapzh.com/songs/67004
小報告	厨房仔	https://rapzh.com/songs/14751145
GODzilla	厨房仔	https://rapzh.com/songs/41728740
We Young (Inst.)	朴灿烈	https://rapzh.com/songs/167675
舞娘 (Live)	蔡依林	https://rapzh.com/songs/2232154
唇唇欲动 (Live)	蔡依林	https://rapzh.com/songs/2232151
开场白 (Live)	蔡依林	https://rapzh.com/songs/2232148
假装 (Live)	蔡依林	https://rapzh.com/songs/2232149
唯舞独尊 (Live)	蔡依林	https://rapzh.com/songs/2232150
马德里不思议 (Live)	蔡依林	https://rapzh.com/songs/2232152
怀念 (Live)	蔡依林	https://rapzh.com/songs/2232153
玩美 (Live)	蔡依林	https://rapzh.com/songs/2232146
孤身（伴奏）	徐秉龙	https://rapzh.com/songs/362947
霓虹	徐秉龙	https://rapzh.com/songs/362969
아찔아찔 (Inst.)	素珍	https://rapzh.com/songs/71284
안녕 (Inst.)	素珍	https://rapzh.com/songs/238240
아찔아찔 (Inst.)	素珍	https://rapzh.com/songs/9588055
우리 서로 (Inst.)	金娜英	https://rapzh.com/songs/97574
말해줘요 (Inst.)	金娜英	https://rapzh.com/songs/153840
미로 (Inst.)	金娜英	https://rapzh.com/songs/97580
